Participant_ID,SEX,Participant_Age,Participant_Ethnicity_1,Participant_Ethnicity_2,Participant_Ethnicity_3,Education_Level,Family_Income,Participant_LTR,Dating_Length,Relationship_Satisfaction,Probability_Leave_Current_Partner,Partner_Number,Had_Sex,Age_Sex,Participant_Lifetime_Sex_Partners,Past_Year_Sex_Partners,Past_Month_Sex,Orientation,GenHealth1,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,ICS1,ICS2,ICS3,ICS4,ICS5,ICS6,ICS7,ICS8,ICS9,ICS10,ICS11,ICS12,CMVS1,CMVS2,CMVS3,CMVS4,CMVS5,CMVS6,CMVS7,CMVS8,CMVS9,CMVS10,CMVS11,CMVS12,CMVS13,CMVS14,CMVS15,CMVS16,CMVS17,CMVS18,CMVS19,CMVS20,CMVS21,CMVS22,CMVS23,CMVS24,CMVS25,CMVS26,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9,ZSDQ1,ZSDQ2,ZSDQ3,ZSDQ4,BFFB1,BFFB2,BFFB3,BFFB4,BFFB5,BFFB6,BFFB7,BFFB8,BFFB9,BFFB10,BFFB11,BFFB12,BFFB13,BFFB14,BFFB15,BFFB16,BFFB17,BFFB18,BFFB19,BFFB20,BFFB21,BFFB22,BFFB23,BFFB24,BFFB25,BFFB26,BFFB27,BFFB28,BFFB29,BFFB30,BFFB31,BFFB32,BFFB33,BFFB34,BFFB35,BFFB36,BFFB37,BFFB38,BFFB39,BFFB40,BFFB41,BFFB42,BFFB43,BFFB44,IPC1,IPC2,IPC3,IPC4,IPC5,IPC6,IPC7,IPC8,IPC9,IPC10,IPC11,IPC12,IPC13,IPC14,IPC15,IPC16,IPC17,IPC18,IPC19,IPC20
272,1,29,3, , ,5,1,1, ,8,8,2,1,20,2,2,2,1,4,3,5,6,6,5,5,5,2,4,3,3,5,5,6,2,3,4,3,3,3,4,4,3,4,5,2,2,3,2,3,5,3,2,3,3,3,2,2,2,3,3,2,3,2,5,5,2,3,3,3,2,3,2,2,3,3,4,5,4,6,5,-.507406671266399,.500040728977603,.942992074331398,-.27815803695894,4,4,5,3,4,2,4,4,5,4,4,2,2,1,4,4,5,4,4,5,4,4,4,4,5,5,4,4,5,4,4,3,4,4,4,5,4,4,5,5,4,5,2,5,5,6,6,5,6,7,6,7,6,5,5,6,5,4,5,5,4,6,7,6
275,1,29,3, , ,4,2,1,5,8, ,2,1,21,2,2,0,1,5,6,7,5,3,5,6,4,3,6,7,6,5,3,5,6,6,3,4,5,6,6,4,2,4,5,6,3,5,2,4,3,2,4,3,4,4,2,3,1,3,4,3,2,3,2,1,3,5,6,3,3,4,6,9,7,6,8,4,7,9,5,.350893170676761,.500040728977603,.165195691853675,.484533354702673,4,5,4,2,3,4,5,4,3,2,4,4,5,4,2,3,4,3,2,3,4,5,3,5,4,3,2,3,4,5,4,3,3,4,5,4,2,3,4,5,4,2,3,4,6,7,6,4,3,5,6,7,4,3,6,7,5,4,3,5,7,5,4,5
325,0,25,3, , ,4,5,1,4,10,7,3,1,20,2,3,2,1,3,6,5,4,6,7,5,4,7,5,4,6,7,4,6,6,3,5,7,4,5,6,4,5,7,5,4,4,2,1,3,4,5,2,4,3,3,1,3,4,2,1,3,4,3,3,2,2,3,4,2,2,3,7,5,8,6,8,7,8,5,8,-.507406671266399,-.401628457849035,.942992074331398,1.24722474636429,4,3,4,5,4,2,3,4,5,3,4,4,3,4,5,4,2,3,5,4,2,4,4,3,4,5,3,4,5,4,3,4,5,4,3,4,5,4,2,3,5,4,3,4,6,5,4,6,7,4,3,5,7,5,6,4,6,7,4,6,5,6,7,6
327,0,28,3, , ,4,1,1,2,6,8,3,1,18,2,2,2,1,4,5,5,3,4,5,3,4,5,6,3,3,3,4,4,5,4,6,4,5,4,6,4,4,6,5,4,4,3,3,3,3,4,3,3,5,5,5,6,5,3,6,4,4,5,5,5,5,4,5,4,5,4,7,6,7,6,8,5,6,6,5,-.507406671266399,.500040728977603,.165195691853675,-1.04084942862055,3,3,3,3,3,2,3,3,2,3,3,3,4,3,3,3,4,4,4,4,4,4,2,5,5,3,4,3,2,4,3,3,4,4,4,3,2,3,3,3,4,3,4,3,4,5,6,6,5,5,5,6,5,5,4,5,6,5,6,5,6,7,6,4
376,0,28,2, , ,3,3,1,5,7,9,3,1,22,2,1,1,1,4,5,2,4,5,5,5,3,4,5,5,3,5,3,6,5,4,3,4,6,6,5,4,4,4,5,5,4,3,5,6,6,5,3,5,4,6,4,6,4,4,5,3,5,3,5,3,4,6,3,6,4,5,6,4,4,6,4,5,6,4,6,.350893170676761,.500040728977603,.942992074331398,.484533354702673,4,3,2,3,3,5,3,4,2,3,4,4,3,2,3,4,5,4,3,2,3,4,4,3,2,3,4,3,2,3,4,3,3,2,4,5,4,3,4,3,4,3,4,4,5,4,4,3,5,6,6,5,4,4,5,6,5,5,3,5,5,6,4,5
28,0,33,3, , ,4,4,1,5,8,1,2,1,18,2,1,1,1,5,6,6,7,7,5,6,5,6,5,7,6,4,6,7,6,5,7,6,6,4,7,5,6,7,5,6,4,2,3,2,1,3,4,3,3,4,2,4,2,3,2,1,3,4,4,2,3,2,2,1,4,2,3,2,2,9,7,8,6,8,7,.350893170676761,1.40170991580424,.942992074331398,.484533354702673,5,3,4,5,4,5,3,4,3,5,5,4,5,4,3,4,5,5,3,4,5,4,5,4,4,3,4,5,5,5,3,4,4,5,4,4,5,4,3,5,4,3,4,4,6,5,6,7,6,7,4,5,6,5,5,6,7,7,6,5,7,6,7,6
129,1,41,1, , ,4,3,2, , , ,4,1,18,2,0,0,1,4,4,7,6,4,3,6,2,3,6,4,6,2,6,5,1,1,1,4,1,1,1,1,1,1,1,1,4,3,3,5,2,3,3,4,5,3,6,7,3,5,5,4,5,2,2,3,4,5,1,6,5,5,2,1,2,1,1,7,1,2,1,-1.36570651320956,-1.30329764467567,-.612600690624048,-1.04084942862055,4,1,5,1,4,5,5,4,5,5,4,1,5,4,3,4,5,4,4,5,4,5,4,5,5,5,4,5,3,3,5,5,5,5,5,2,4,5,2,4,1,5,1,4,5,5,4,5,7,5,6,3,6,6,7,6,6,7,6,7,7,7,5,7
249,1,66,1, , ,2,3,1,5,11,1,2,1,21,2,2,2,1,2,1,1,7,7,1,4,1,1,1,7,4,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,6,6,6,2,4,5,5,1,7,1,1,7,7,7,7,7,7,4,7,7,7,7,7,2,2,1,7,7,1,2,2,2,-2.22400635515272,-1.30329764467567,-1.39039707310177,-.27815803695894,1,1,3,1,1,5,5,2,5,3,2,1,5,1,1,3,5,2,5,2,5,5,1,1,1,1,1,4,1,3,4,5,5,5,5,2,2,4,1,4,2,5,2,2,5,6,4,4,5,4,4,4,7,7,6,6,6,5,6,6,6,6,6,6
351,0,30,3, , ,5,1,1,4,7,7,1,1,16,2,2,2,1,5,5,6,4,4,4,5,5,3,5,6,6,5,5,5,3,3,4,2,4,5,4,2,3,3,4,2,6,5,6,5,5,5,6,6,6,5,5,5,6,6,5,4,5,4,5,5,7,6,6,6,5,6,4,4,2,2,4,4,4,6,8,-.507406671266399,-.401628457849035,.165195691853675,-1.04084942862055,4,4,3,2,2,2,4,4,5,4,3,1,4,4,4,5,4,2,2,5,4,4,2,3,3,3,5,4,4,4,2,4,5,4,5,2,4,5,2,4,4,5,4,4,5,6,6,6,5,5,6,6,6,5,4,5,4,6,6,6,6,6,7,6
352,0,33,3, , ,4,4,1,5,11,1,4,1,16,2,1,10,1,5,6,4,7,7,5,4,6,7,4,7,4,6,7,5,5,4,7,6,5,6,7,4,6,5,4,6,3,2,4,3,2,2,3,3,2,4,2,3,4,2,3,1,2,2,3,1,3,1,1,4,3,4,3,7,5,9,7,6,4,5,8,.350893170676761,.500040728977603,-.612600690624048,.484533354702673,5,4,5,3,4,5,4,3,3,5,5,5,3,4,5,5,4,3,4,4,3,5,5,3,4,5,3,2,3,4,4,5,4,5,3,4,5,4,4,5,3,4,3,5,5,6,4,7,6,4,6,5,7,4,5,4,7,6,6,5,7,5,7,6
377,0,28,3, , ,4,4,1,5,9,2,2,1,19,2,1,0,1,4,1,1,4,5,1,4,1,1,1,5,7,1,4,5,1,4,1,5,4,4,4,2,4,5,1,1,3,2,2,2,2,3, ,1,3,2,5,3,2,3,5,6,7,3,3,3,2,3,4,6,4,5,1,1,1,9,2,6,1,1,1,-2.22400635515272,-1.30329764467567,-.612600690624048,-1.04084942862055,3,1,5,1,4,2,5,1,5,5,5,1,5,3,5,4,5,1,1,4,2,5,1,4,3,4,4,4,1,5,1,3,5,5,4,1,4,4,1,4,5,5,1,3,5,7,6,6,6,5,6,4,6,6,7,7,7,7,7,7,7,7,7,7
25,0,25,3, , ,4,1,1,2,10,2,2,1,25,2,2,3,1,5,6,5,3,6,6,7,6,7,6,5,6,5,6,6,6,6,6,7,2,3,6,6,5,6,7,6,2,1,2,2,2,3,1,2,2,3,2,2,1,1,1,1,2,1,1,1,1,2,2,6,2,6,3,2,1,2,3,8,2,2,3,1.20919301261992,.500040728977603,.165195691853675,1.24722474636429,4,2,4,2,4,2,5,2,5,4,5,2,5,2,4,4,5,2,2,5,4,5,2,5,4,4,5,4,5,4,2,5,5,4,5,4,2,4,2,5,4,4,2,4,5,6,7,7,7,7,6,7,7,6,6,7,6,7,6,5,7,6,7,6
66,0,36,1, , ,4,4,2, , , ,5,1,23,2,0,0,1,3,1,6,5,5,1,4,1,2,1,5,4,1,3,3,1,2,2,4,1,2,2,2,3,2,3,2,1,1,1,1,1,1,2,1,1,1,7,5,5,4,1,1,1,3,2,1,1,1,1,5,5,4,1,2,2,6,4,5,7,6,3,.350893170676761,.500040728977603,.942992074331398,-.27815803695894,2,2,3,2,1,4,4,3,3,3,2,1,3,2,2,2,4,3,4,2,4,4,3,3,2,2,3,2,2,2,4,4,3,3,3,2,2,3,2,2,4,3,3,2,5,3,3,3,5,6,6,4,3,4,5,3,3,5,5,3,2,5,3,5
77,0,25,3, , ,5,2,1,4,11,1,4,1,19,2,1,2,1,5,6,4,3,6,5,6,5,4,6,3,4,5,5,2,3,4,6,4,3,6,5,4,5,3,2,2,3,2,4,3,3,2,4,2,3,3,4,3,2,2,3,2,3,2,3,2,2,2,2,3,2,2,2,2,2,7,6,5,7,6,7,-1.36570651320956,.500040728977603,.942992074331398,1.24722474636429,5,4,3,2,4,3,4,4,3,4,5,4,3,4,5,4,3,4,2,3,4,5,4,3,2,4,4,3,4,3,2,4,4,4,3,2,4,4,3,2,4,5,4,3,5,4,3,5,6,4,3,5,6,4,6,4,4,3,6,6,5,3,6,6
78,0,34,2, , ,5,7,2, , , ,2,1,21,2,0,0,1,3,3,3,5,6,2,3,3,3,2,5,4,2,4,2,2,2,2,5,2,3,2,3,5,5,5,4,7,7,7,7,6,6,7,6,7,6,2,4,4,4,6,7,6,2,2,7,6,7,7,2,1,2,1,1,1,8,8,2,4,4,2,1.20919301261992,1.40170991580424,1.72078845680912,-.27815803695894,2,4,4,3,3,4,2,2,2,3,3,2,4,4,3,1,1,2,4,3,4,2,2,3,3,3,4,4,4,4,4,2,3,3,3,2,3,4,2,4,3,3,2,3,3,2,2,2,3,6,5,5,3,5,4,5,5,2,2,2,2,6,5,5
104,0,27,1, , ,4,6,1,5,9,1,3,1,19,2,1,3,1,4,1,5,6,4,5,6,1,2,4,4,6,1,6,2,1,1,1,1,1,1,1,1,4,5,2,4,5,5,5,6,4,6,5,6,6,5,3,3,3,4,7,7,7,5,5,6,4,6,4,6,7,7,2,2,1,3,1,8,2,2,1,-.507406671266399,.500040728977603,.942992074331398,.484533354702673,1,4,5,4,5,5,4,1,4,5,2,2,5,4,5,2,3,1,5,5,5,2,2,4,5,2,3,4,4,5,5,4,4,4,5,1,2,4,4,5,1,4,1,5,6,6,7,7,7,7,7,7,6,6,6,6,6,7,7,5,5,7,7,7
109,0,25,1, , ,4,5,1,5,10,1,4,1,19,2,1,5,1,4,1,1,7,2,1,5,1,1,1,2,7,1,7,3,1,1,3,1,1,1,3,1,5,1,1,1,3,3,4,7,3,7,7,7,4,7,3,3,1,7,7,7,7,3,3,4,3,7,2,7,6,7,2,1,1,3,1,9,1,1,1,.350893170676761,-.401628457849035,-1.39039707310177,-.27815803695894,4,1,5,1,4,1,4,1,5,5,4,1,5,1,5,4,4,3,1,5,1,5,2,5,4,4,1,5,1,5,1,5,5,4,4,4,1,5,1,5,1,5,1,5,5,6,6,6,6,5,5,7,3,6,7,7,7,6,7,6,6,6,6,6
111,0,25,3, , ,4,2,1,5,10,1,2,1,19,2,2,3,1,4,6,4,4,5,4,5,5,6,4,5,5,5,6,5,4,4,5,6,5,5,5,4,5,6,3,4,2,2,3,3,2,4,3,3,3,3,3,1,1,2,2,2,3,3,2,2,2,4,4,3,3,4,3,2,2,5,8,3,6,6,6,-.507406671266399,-.401628457849035,.942992074331398,.484533354702673,4,4,4,2,3,4,4,2,4,2,4,3,4,3,3,4,4,3,3,4,4,4,2,4,4,4,3,3,4,3,3,4,3,4,4,4,3,4,3,3,3,3,2,3,5,5,5,6,5,4,5,5,4,5,5,5,5,5,3,4,6,6,5,5
113,0,28,3, , ,5,5,1,5,10,2,2,1,27,2,1,1,1,4,5,6,5,2,5,6,6,7,6,6,4,5,2,3,5,6,5,6,6,5,7,5,6,5,6,6,2,2,3,1,2,3,2,1,2,2,3,4,2,1,2,2,3,2,2,4,3,2,1,2,3,2,2,2,3,3,5,9,2,3,2,.350893170676761,.500040728977603,.165195691853675,1.24722474636429,4,3,4,3,5,2,4,2,5,4,5,4,5,3,4,4,5,2,2,4,5,4,2,4,3,5,4,4,3,4,2,4,4,4,3,5,4,4,3,4,5,4,2,4,5,7,6,6,7,5,6,6,7,5,5,7,6,6,5,7,6,6,5,7
116,0,30,3, , ,5,7,1,4,10,2,2,1,20,2,2,5,1,5,6,7,5,4,6,7,6,5,6,5,5,3,4,6,5,6,3,5,6,4,4,5,6,5,4,5,4,1,5,6,4,3,3,1,2,2,4,1,1,1,2,3,3,2,2,1,2,3,1,3,2,3,3,3,3,8,8,9,6,5,6,-.507406671266399,-.401628457849035,.165195691853675,2.0099161380259,3,3,2,2,5,2,5,1,5,4,5,4,5,4,3,5,5,2,1,5,2,5,1,5,3,4,4,5,3,4,1,5,5,4,5,5,1,5,1,5,4,5,1,4,5,6,7,6,7,6,7,6,7,6,6,7,6,6,7,6,7,7,6,7
125,1,40,1, , ,4,6,1,5,10,1,3,1,17,2,1,6,1,3,1,6,6,6,2,5,2,2,2,6,6,2,6,6,2,2,2,5,5,2,2,2,6,5,5,2,5,5,5,4,5,5,5,5,5,5,3,6,6,5,2,2,2,6,5,5,5,3,5,3,2,2,2,1,1,1,1,8,1,1,1,-.507406671266399,-.401628457849035,-.612600690624048,-.27815803695894,3,2,4,2,4,3,4,4,4,4,3,2,4,2,4,3,5,5,3,5,3,4,3,4,5,2,2,4,2,5,2,5,5,4,4,3,2,2,2,2,4,2,2,4,6,6,6,7,7,6,6,2,6,6,6,7,7,6,6,6,6,6,6,6
126,1,44,2, , ,5,6,1,5,7,2,3,1,20,2,1,8,1,2,2,5,3,2,2,7,2,2,1,2,6,1,6,2,5,2,2,5,2,3,2,2,2,5,1,2,2,1,2,3,2,7,1,1,3,1,5,2,2,2,6,6,6,2,3,2,2,2,1,6,5,5,2,2,2,2,1,8,3,2,2,.350893170676761,.500040728977603,-1.39039707310177,.484533354702673,4,2,5,1,4,2,4,3,4,4,4,1,5,2,3,4,5,2,1,4,4,5,1,4,4,4,1,5,1,5,2,5,5,4,2,5,2,4,1,4,1,5,1,5,6,6,6,6,6,7,6,7,7,7,7,6,6,7,7,7,7,6,7,6
139,1,50,1, , ,4,3,1,5,7,1,2,1,19,2,1,4,1,3,1,5,7,1,1,3,1,1,1,1,7,1,7,7,1,1,6,5,7,7,4,2,6,7,7,1,3,3,5,7,4,7,7,7,7,7,1,4,4,3,7,3,7,3,6,6,7,7,5,7,6,2,2,1,1,1,1,9,1,1,1,-2.22400635515272,-1.30329764467567,-1.39039707310177,-.27815803695894,1,1,5,1,1,5,5,2,5,5,2,1,5,2,1,1,5,4,1,1,5,1,1,4,1,1,2,5,2,5,5,5,5,5,5,1,1,5,2,1,1,5,3,5,7,7,7,6,6,7,7,5,7,7,7,7,7,7,7,1,1,4,5,6
143,1,27,1, , ,4,5,1,4,10,2,2,1,22,2,1,9,1,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,3,2,4,3,4,4,4,4,3,3,3,5,5,5,5,4,3,3,3,3,4,4,4,2,2,2,1,1,1,2,2,2,.350893170676761,-1.30329764467567,-.612600690624048,-.27815803695894,4,4,4,3,4,3,4,2,2,4,4,2,4,3,4,4,4,2,3,4,3,4,2,4,5,4,2,5,3,5,3,5,5,4,3,3,2,3,3,4,5,4,2,5,4,4,4,4,4,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5
152,1,36,1, , ,4,8,1,4,11,1,2,1,18,2,1,1,1,4,2,2,5,5,5,6,6,2,2,6,6,6,6,6,2,2,2,2,2,2,2,2,3,3,3,2,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,6,2,2,1,1,1,8,1,1,1,.350893170676761,.500040728977603,-1.39039707310177,-.27815803695894,5,1,5,1,5,5,5,1,5,5,5,1,5,1,5,5,5,1,1,5,3,5,1,5,5,5,1,5,1,5,1,5,5,5,5,5,1,5,1,5,1,5,1,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
169,1,26,2, , ,5,2,1,5,11,1,6,1,15,2,1,4,1,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,7,7,7,7,7,7,7,7,2,2,1,1,9,9,9,6,6,1.20919301261992,.500040728977603,.942992074331398,1.24722474636429,5,5,5,1,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
170,1,53,1,8, ,4,5,1,5,9,1,3,1,23,2,1,0,1,4,1,5,5,1,1,5,1,3,4,1,6,1,6,3,3,4,2,4,4,4,2,2,4,5,2,5,4,4,4,7,4,6,6,4,6,4,3,1,1,7,7,7,7,4,4,4,4,7,5,3,6,6,2,1,1,4,1,6,2,2,1,-2.22400635515272,-1.30329764467567,-1.39039707310177,-1.80354082028217,4,3,4,3,3,3,5,2,2,4,4,1,5,4,4,3,4,2,4,3,3,5,2,4,2,4,2,5,3,4,3,4,5,3,3,4,2,4,4,4,3,4,1,3,5,4,6,6,5,6,5,5,4,5,7,6,7,4,5,4,4,6,5,5
188,1,70,1, , ,2,3,1,5,11,1,1,1,19,2,1,2,1,3,1,1,5,1,2,3,1,1,1,1,7,1,7,6,2,2,4,2,2,3,2,2,3,2,2,3,2,1,1,1,1,1,3,3,4,3,2,5,3,3,7,7,7,5,5,6,6,7,3,5,7,7,2,1,2,1,1,2,1,1,1,-1.36570651320956,-1.30329764467567,-1.39039707310177,-1.80354082028217,4,5,4,2,2,4,4,4,2,2,1,1,4,4,2,2,4,4,4,2,2,4,4,2,2,1,1,4,2,2,4,4,4,2,4,2,2,4,4,1,5,5,4,1,5,6,2,5,5,6,5,6,7,5,6,5,5,6,7,6,6,3,5,6
192,1,41,1, , ,4,9,1,5,10,1,4,1,21,2,1,0,1,3,3,4,5,4,4,5,3,2,2,4,5,2,6,4,4,5,4,4,4,3,5,3,3,4,4,4,3,4,4,4,4,6,3,4,4,5,3,2,2,2,4,4,4,3,3,4,3,5,3,5,4,4,2,2,2,2,2,8,1,1,2,-2.22400635515272,-1.30329764467567,-.612600690624048,-1.80354082028217,2,4,4,3,4,4,4,3,3,4,3,3,5,4,4,3,4,3,4,4,5,4,3,4,4,3,3,4,4,4,4,4,4,4,3,2,4,4,3,4,2,4,3,3,5,5,5,5,6,6,6,5,5,5,5,5,5,5,5,5,5,6,5,5
230,1,34,1, , ,4,6,1,5,9,1,3,1,23,2,1,2,1,3,2,2,6,5,2,3,2,1,1,1,6,1,6,1,4,3,3,3,5,3,2,2,3,3,3,3,5,5,5,5,5,6,5,5,5,6,3,1,2,2,6,6,6,3,5,3,5,5,5,5,5,5,2,1,1,1,1,8,1,1,1,.350893170676761,-.401628457849035,.165195691853675,-.27815803695894,2,2,4,2,4,4,4,2,2,4,3,2,4,2,4,2,4,2,4,4,4,4,2,2,2,2,2,4,4,4,4,4,4,2,4,2,2,4,4,4,2,4,2,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
232,1,27,1, , ,4,4,1,5,9, ,2,1,17,2,1,5,1,3,1,4,5,1,1,4,1,1,1,1,4,1,4,1,1,1,1,3,1,1,1,1,1,1,1,1,2,4,4,6,2,6,6,6,6,6,2,2,2,2,6,6,6,6,3,3,4,4,3,6,6,6,2,2,2,3,1,9,1,1,1,.350893170676761,-.401628457849035,.165195691853675,-1.04084942862055,2,2,4,1,4,4,4,1,4,3,3,1,4,2,4,4,4,1,1,3,3,4,1,4,4,3,1,4,1,3,2,4,4,4,4,2,1,4,1,2,2,4,1,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
242,1,29,1, , ,5,8,1,5,8,1,1,1,17,2,2,5,1,3,2,4,6,4,1,4,1,1,1,4,4,1,4,5,1,1,2,3,1,1,1,1,4,4,3,2,4,5,6,5,5,7,5,4,5,6,3,2,3,4,7,7,6,2,3,7,4,4,5,7,5,6,3,1,2,9,5,2,8,3,1,.350893170676761,-1.30329764467567,.165195691853675,1.24722474636429,3,1,4,2,3,4,5,4,4,5,3,1,4,4,4,3,5,5,2,4,3,4,3,4,2,2,1,4,2,4,4,5,4,4,1,4,1,4,3,4,1,5,4,2,4,5,5,5,6,6,6,6,4,5,5,6,5,7,6,6,6,4,4,5
247,1,45,1, , ,2,6,1,5,11,1,5,1,17,2,1,6,1,4,1,4,7,4,1,7,1,1,1,5,7,1,7,1,1,1,1,4,1,1,1,1,1,2,1,1,3,3,3,4,3,4,3,6,6,3,1,1,1,1,7,7,7,1,1,3,4,4,4,7,7,7,2,2,2,5,1,9,1,1,1,.350893170676761,.500040728977603,-1.39039707310177,.484533354702673,1,3,5,1,5,5,5,1,3,4,4,1,5,4,4,4,4,1,4,4,5,4,1,5,5,1,1,5,3,3,5,5,5,5,5,3,1,5,5,5,3,5,1,1,6,4,5,5,4,5,5,5,7,7,7,7,7,7,7,7,7,7,6,6
255,1,29,1, , ,3,6,1,5,10,1,3,1,17,2,1,3,1,4,1,4,6,3,1,7,1,5,1,4,7,1,7,1,3,6,2,6,2,3,2,2,6,6,2,1,2,2,3,5,3,2,3,3,3,3,5,1, ,2,5,6,6,2,3,3,3,3,1,7,5,6,2,1,2,9,7,1,2,1,2,-.507406671266399,-.401628457849035,.165195691853675,-1.04084942862055,4,4,4,1,4,2,2,2,4,5,4,1,5,2,4,4,2,1,4,3,2,4,2,5,4,2,4,4,2,3,4,4,5,5,5,4,4,4,5,4,2,4,2,4,7,7,6,7,7,6,7,6,7,7,7,7,6,7,7,7,6,7,7,7
259,1,36,6, , ,4,7,1,5,9,1,3,1,14,2,1,20,1,4,1,6,7,1,1,6,1,1,1,4,7,2,6,1,1,1,2,1,1,1,1,1,3,5,3,1,5,6,5,3,5,1,1,1,1,3,1,7,7,6,1,1,1,5,4,4,5,1,6,1,1,1,2,1,1,2,1,8,1,1,1,.350893170676761,.500040728977603,-.612600690624048,.484533354702673,3,1,5,1,3,3,5,1,4,4,4,1,5,1,4,4,5,1,2,4,3,5,1,4,2,3,1,5,3,2,2,5,5,4,5,4,2,5,1,3,2,5,1,1,6,6,6,7,7,7,7,6,7,6,7,6,6,7,7,5,5,7,7,7
260,1,41,1, , ,3,3,1,5,4,8,7,1,26,2,1,0,1,4,1,4,5,2,3,3,1,1,1,3,4,1,4,2,2,4,2,4,2,2,2,1,4,4,2,1,3,4,5,1,5,1,7,7,6,2,1,7,7,5,1,1,1,4,4,2,4,1,4,1,1,1,2,1,1,1,1,9,1,1,1,-.507406671266399,-1.30329764467567,-1.39039707310177,-.27815803695894,3,2,5,1,3,3,4,1,4,4,4,1,5,1,3,3,5,3,2,3,3,5,1,3,2,2,1,4,2,3,3,5,4,4,3,3,1,4,2,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7
277,1,24,1, , ,2,8,1,4,11,1,2,1,17,2,1,1,1,4,3,2,2,3,4,3,2,4,3,2,4,3,3,4,2,4,3,2,3,3,3,2,3,4,4,3,4,3,6,5,4,3,4,5,5,5,4,4,5,6,5,4,3,4,5,4,3,3,4,5,4,3,2,1,3,5,3,4,5,3,2,.350893170676761,.500040728977603,.942992074331398,-.27815803695894,3,2,1,2,3,2,2,4,3,2,2,2,1,3,2,2,1,3,3,4,3,2,2,1,3,3,4,3,2,2,1,3,3,2,1,3,2,1,2,3,3,2,4,2,5,3,3,5,4,4,3,4,3,5,3,3,5,4,3,3,3,5,3,2
287,1,35,3, , ,4,8,1,5,10,1,2,1,24,2,1,0,1,2,4,3,6,5,1,5,1,3,1,5,7,1,6,5,1,3,1,4,1,1,1,1,5,5,1,1,2,3,4,6,3,7,4,5,4,3,5,1,1,2,5,7,6,2,4,4,6,6,1,7,4,6,2,1,1,3,1,9,1,1,5,-.507406671266399,-1.30329764467567,-.612600690624048,-1.04084942862055,4,3,4,2,3,3,5,2,4,4,3,1,5,3,3,4,5,1,3,5,3,4,2,4,2,2,1,3,2,2,4,5,4,4,5,4,2,4,2,4,4,5,3,2,4,5,5,6,4,5,5,4,6,5,6,6,6,6,5,4,4,7,6,7
300,1,28,6, , ,4,8,1,5,9,1,2,1,21,2,1,12,1,5,2,2,2,2,2,6,2,2,3,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,6,6,5,3,5,1,3,3,3,2,5,7,7,6,3,3,3,5,6,5,4,5,6,5,4,5,2,2,1,1,1,8,1,1,1,1.20919301261992,1.40170991580424,-1.39039707310177,1.24722474636429,1,1,5,1,4,4,4,1,4,4,5,1,4,1,4,4,4,1,1,4,4,4,1,4,4,4,1,4,1,5,1,4,4,4,4,2,1,4,1,4,2,4,1,1,3,2,5,3,4,5,4,3,3,5,4,3,4,5,3,5,3,4,5,6
309,0,35,1, , ,4,8,1,5,11,1,4,1,18,2,1,15,1,4,3,5,5,4,4,6,3,2,4,4,5,1,4,3,6,4,6,2,7,5,3,4,2,6,5,2,5,7,4,4,5,2,5,4,6,4,2,7,6,5,7,5,4,4,5,5,2,5,6,5,4,2,2,1,1,8,1,8,2,4,5,.350893170676761,.500040728977603,.165195691853675,-.27815803695894,4,5,5,1,5,2,3,4,4,2,5,2,5,5,4,4,2,2,4,5,2,4,2,4,4,4,2,4,4,2,3,4,2,5,4,3,4,2,3,4,4,2,2,2,3,5,2,2,4,6,3,5,5,3,5,5,3,6,2,2,4,7,4,6
